,Store_Name,Address,Timings,Latitude,Longitude,Phone_number
0,"Jio Store - Gandhi Chowk, Hinganghat","Jio Store, Mene Shop, Gandhi Chowk, Beside kanak jewellers, Hinganghta Dist:- Wardha - 442301",Mon-Sun 10:00 AM-10:00 PM,20.54,78.83,9082700428
1,"Reliance Digital - Saraf Complex, Wardha","Reliance Digital, Ground Floor & First Floor, Saraf Complex, Plot No. 2/6, Wanipura, Ambika Square, Main Bazar Road, Wardha 442001, Maharashtra",Mon-Sun 10:00 AM-10:00 PM,20.73897,78.601805,8459614650
2,"Jio Store - Arvi Naka , Wardha","Jio Store, Ground Floor, Gandhi Nagar, Near Shivarpan Heights, Arvi Naka, Wardha 442001, Maharashtra",Mon-Sun 10:00 AM-10:00 PM,20.754904,78.601534,9321004968
3,"Jio Store - Santaji Nagar Mane Road, Bhadravati","Jio Store, Shop No. 3 Santaji Nagar Mane Road Shite No. 131/3 Plot No. 13 Bhadravati 442902",Mon-Sun 10:00 AM-10:00 PM,20.11,79.11,9082706070
4,"Jio Store - Besa, Nagpur","Jio Store, Upper Ground Floor, No. R1 KH No 19/2, Siddhesh Sai Krupa Complex, K Sera Miniplex, Besa Pipla Road, Besa, Nagpur 440037, Maharashtra",Mon-Sun 10:00 AM-10:00 PM,21.086892,79.087356,9321004962
5,"Jio Store - Somalwada, Nagpur","Jio Store, Shop No 3, Plot No 1869, Laxmi Niwas, Kachore Corner, Somalwada Square, Wardha Road, Nagpur, 440015",Mon-Sun 10:00 AM-10:00 PM,21.0979299,79.0669507,9082712290
6,"Jio Store - Pratap Nagar, Ganesh Heights, Nagpur","Jio Store, Shop No 23, Ganesh Apartment, Kotwal Nagar Ring Road, Nagpur 440025",Mon-Sun 10:00 AM-10:00 PM,21.1127167,79.0627201,9082710919
7,"Jio Store - Hingana, Nagpur","Jio Store, Shop No GS 2, Ravi Apartement, 6, Barlingay Vaidya Layout, Hingna Road, Nagpur 440016",Mon-Sun 10:00 AM-10:00 PM,21.119848,79.0223577,9082704480
8,"Jio Store - Chordiya Complex, Wani","Jio Store, Shop No.1, Chordia Complex, Madina Masjit Road, Shivaji Chowk, Wani - 445304",Mon-Sun 10:00 AM-10:00 PM,20.06,78.94,9082703062
9,"Jio Store - Shewalkar Garden, Subhash Nagar, Nagpur","Jio Store, Shop No 46, Upper Ground Floor, Shewalkar Garden, S A Road, Nagpur, 440012",Mon-Sun 10:00 AM-10:00 PM,21.1214173,79.0531424,9082712282
10,"Jio Store - Hudkeshwar Road, Margi Nagar Square, Nagpur","Jio Store, GF Plot No 331 New Subedar Layout Near, Bank Of Mahashtra Hudkeshwar Road, Margi Nagar Square, Nagpur",Mon-Sun 10:00 AM-10:00 PM,21.111277,79.116057,9595157848
11,"Jio Store - AVN Tower, Manewada, Nagpur","Jio Store, Shop No 2,3, AVN Tower, Plot No 291, Jawahar Nagar, Manewada, Nagpur 440024",Mon-Sun 10:00 AM-10:00 PM,21.119073,79.10443111,9082709190
12,"Jio Store - Dharampet, Nagpur","Jio Store, Shukla Bhawan, Shop 1, Plot 3, H No 194, Near Batukbhai Jewellers, (W) High Court Road, Dharmpeth, Nagpur 440010",Mon-Sun 10:00 AM-10:00 PM,21.1384108,79.0604068,9082709443
13,"Reliance Digital - Dharampeth, Nagpur","Reliance Digital, Plot No. 275, Laxmi Bhavan Square, WHC Road, Dharampeth, Nagpur 440010, Maharashtra",Mon-Sun 11:00 AM-10:00 PM,21.1399,79.06035,7028080816
14,"Jio Store - Medical Square, Bhagwat Bhawan, Nagpur","Jio Store, Plot No. 197, Bhagat Bhavan, Uhtkhana Road, Medical Square, Nagpur 440009, Maharashtra",Mon-Sun 10:00 AM-10:00 PM,21.13243634,79.09863779,9082705674
15,"Reliance Digital - Trilium Mall, Nagpur","Reliance Digital, Trilium Mall, 504, Great Nag Road, Near Medical Square, Rambagh, Nagpur 440003, Maharashtra",Mon-Sun 11:00 AM-10:00 PM,21.1330051,79.096868,9226012432
16,"Resq Service Center - Nagpur, Nagpur","ResQ Service center, Task Solutions, Plot No. P 13, Mauje Wadi, Hingna Road, Near Toll Plaza, Nagpur 440028, Maharashtra",Mon-Sun 09:30 AM-09:30 PM,21.1479446,79.0040478,0
17,"Jio Store - Silver System, Dhantoli, Nagpur","Jio Store, Gs/1, Silver Palace, Opp Yeshwant Stadium, Dhantoli, Nagpur 440012",Mon-Sun 10:00 AM-10:00 PM,21.1385034,79.0811442,9082712073
18,"Jio Store - Kamdi Bhawan, Nandanvan, Nagpur","Jio Store, Plot No 502, Shop No 2, Kandi Bhawan, Near Jaiswal School, Nehru Nagar, Nandanvan Main Road, Nagpur 440009",Mon-Sun 10:00 AM-10:00 PM,21.141748,79.073147,9082705634
19,"Reliance Digital - Empress City Mall, Nagpur","Reliance Digital, First Floor, Empress City Mall, Near Gandhi Sagar Lake, Sir Benzonji Mehta Road, Nagpur 440018, Maharashtra",Mon-Sun 10:00 AM-10:00 PM,21.1478739,79.0926848,9922923412
20,"Jio Store - CA Road, Tulsi Apartment, Nagpur","Jio Store, Shop No 3, Tulsi Apartment, Central Avenue Road, Nagpur 440008",Mon-Sun 10:00 AM-10:00 PM,21.1487486,79.1191827,9372757955
21,"Digital Xpress Mini - Wardhaman Nagar, Nagpur","Reliance Digital Xpress Mini, Plot No 10, House No 1526/46, Shop No 2, Srinivas Apartment, Central Avenue Road, Wardhaman Nagar, Nagpur 440008",Mon-Sun 10:00 AM-10:00 PM,21.1482589,79.1310536,0
22,"Jio Store - Sadar, Nagpur","Jio Store, D 10 B, Anjum Complex, Sadar Bazar, Mangalwari, Nagpur 440001",Mon-Sun 10:00 AM-10:00 PM,21.164033,79.0806331,9082704022
23,"Jio Store - Pardi Naka, H b Town, Nagpur","Jio Store, Shop No U 11, HB Town, Bhandara Road, Pardi, Nagpur 440008",Mon-Sun 08:00 AM-04:00 PM,21.1508523,79.1511832,9372757889
24,"Jio Store - Kamal Chowk-relocation 7739, Nagpur","Jio Store, GF City S No 2278 H No 73 Shop No 3, Karam Sheel Heights Dr Ambedkar Rd, Indora Chowk Rd Kamal Chowk, NAGPUR",Mon-Sun 10:00 AM-10:00 PM,21.171314,79.10023,7709430345
25,"Jio Store - Jafar nagar, Nagpur","Jio Store, Plot No 100/A4, Beside Mother 1 Nursing Institute, Jafar Nagar, Nagpur 440013",Mon-Sun 08:00 AM-04:00 PM,21.1820901,79.0666891,9082704261
26,"Jio Store - Jaripatka, Hitesh Sankul, Nagpur","Jio Store, Shop No 4, Hitesh Sankul, Main Nara Road, Jaripatka, Nagpur 440014",Mon-Sun 10:00 AM-10:00 PM,21.1874899,79.0917256,9082704469
27,"Jio Store - KAMPTEE, Kamptee","Jio Store, House No409, Borkar Chowk, Main Road, Kamptee, 441001",Mon-Sun 10:00 AM-10:00 PM,21.21,79.19,9082703049
28,"Jio Store - Tukum, Nirman Nagar, Chandrapur","Jio Store, Warbhe Daily Needs,Shop No 20, Nirman Road, Near Biyani Petrol Pump, Tukum Road, Chandrapur 442401",Mon-Sun 10:00 AM-10:00 PM,19.9793712,79.2996802,9082705742
29,"Jio Store - Zanzari Complex , Chandrapur","Jio Store, Shop No 1,Zanzari Complex, ZP Road,Jatpura Square, Chandrapur 442401",Mon-Sun 10:00 AM-10:00 PM,19.9589721,79.2959357,9082706307
30,"Jio Store - Zaweri Complex, Ballarpur","Jio Store, Zaweri Complex Shop No. 2 Opp TQ Court Collery Road Ballarpur 442701",Mon-Sun 10:00 AM-10:00 PM,19.8570749,79.3459579,9082706078
31,"Resq Service Center - Yavatmal, Yavatmal","ResQ Service Center, Nilawar Mobile Shopee, Shop No.101, Nilawar Complex, Jai Hind Chowk, Yavatmal 445001, Maharashtra",Mon-Sun 09:30 AM-09:30 PM,20.395,78.134,0
32,"Reliance Digital - Dhamangaon, Yavatmal","Reliance Digital, Ground Floor & First Floor, Westend Mall, SBI Square, Civil Line, Opp. Essar Petrol Pump Pang, Dhamangaon Road, Yavatmal 445001, Maharashtra",Mon-Sun 10:00 AM-10:00 PM,20.3966,78.12922,9022166098
33,"Jio Store - Jaju Complex, Yavatmal","Jio Store, Jaju Complex, Shop no,3, Nr Kale Hospital Datta Chowk Yavatmal - 445001",Mon-Sun 10:00 AM-10:00 PM,20.38,78.13,9372757967
34,"Jio Store - Muslim Library Square, Bhandara","Jio Store, Muslim Library Square, Behind Padole Hospital, Opp. Nagar Parshid Complex Bhandara - 441904",Mon-Sun 10:00 AM-10:00 PM,21.16,79.65,9082703038
35,"Jio Store - Hameedpura, Adilabad","Jio Store, H.No: 4-4-75/2,Hameed pura,Near Netaji Chowk, Adilabad, Telangana 504001",Mon-Sun 10:00 AM-10:00 PM,19.67136581,78.53210746,9082708312
36,"Reliance Digital - Adilabad, Adilabad","Reliance Digital, 37/1, Dasnapur village, Mavala Mandal, Next to Thirumala Petrol Pump, Adilabad 504002, Telangana",Mon-Sun 10:00 AM-10:00 PM,19.65855,78.52394,6305805087
37,"Jio Store - Gandhi Nagar, Mahoba","Jio Store, Mr. Chandra shekhar Tiwari S/o Shri Babu lal Tiwari ,Kirat Sagar Road Mahoba , 210427",Mon-Sun 10:00 AM-10:00 PM,20.67595,77.798741,9082700878
38,"Jio Store - Balaji Refreshment, CAMP, Amravati","Jio Store, Shop No 17 19, Khandelwal Market, Chaprasipura Camp, Amravati 444602",Mon-Sun 10:00 AM-10:00 PM,20.9315615,77.7776122,9372757939
39,"Jio Store - Shantinagar, Amravati","Jio Store, Digital Xpress mini, Sadbhawana Market, Chaitanya Colony, Yashoda Nagar, Old By-Pass Road, Amravati 444606, Maharashtra",Mon-Sun 10:00 AM-10:00 PM,20.915128724,77.771764015,9082703802
40,"Resq Service Center - Amravati, Amravati","ResQ Service center, Suyog Enterprises, Opp. Dr Prafull Kadu Hospital, Rukhmani Nagar, Amravati 444607, Maharashtra",Mon-Sun 09:30 AM-09:30 PM,20.923322,77.7636254,0
41,"Jio Store - Raja Peth, Gulshan Plaza, Amravati","Jio Store, Shop No 8, Ground Floor, Gulshan Plaza, Badnera Road, Rajapeth, Amravati-444601",Mon-Sun 10:00 AM-10:00 PM,20.918537,77.7536159,9372757853
